id,en,es,pt_BR
BOOST,to boost,para acelearar,para acelerar
BOOST_,[center]Hold [color=#{color}]ACTION[/color][/center]\n[center]to boost[/center]\n[center]the timer[/center],[center]Pressione\n[color=#{color}]ACTION[/color][/center]\n[center] para acelearar[/center]\n[center]o contador[/center],[center]Segure\n[color=#{color}]ACTION[/color][/center]\n[center]para acelerar[/center]\n[center]o contador[/center]
CHALENGED,Will you give up?,¿Vas a rendirte?,Vai disistir?
CHANNELS,Channels,Canales,Canais
CHARACTER_SELECTION,Chararacter selection,Seleccion de personajes,Selecao de personagem
CONTINUE,Continue,Continuar,Continuar
EN,English,Inglés,Inglês
ENVIRONMENT,Environment,Ambiente,Ambiente
ES,Spanish,Español,Espanhol
FULLSCREEN,Fullscreen,Pantalla completa,Tela Cheia
GAME_NAME,This is not Overcooked,Esto no és overcooked,Isto não é overcooked
HOLD,Hold,Pressione,Segure
JOIN,to join,para unirse,para se unir
LANGUAGE,Language,Lengua,Linguagem
LEVEL,Level,Nivel,Nivel
MUSIC,Music,Música,Música
NEW_GAME,New Game,Nuevo juego,Novo jogo
NOPE,Nope,No,Nem
NOPE_REASON1,Who do you think I am?,¿Quién crees que soy?,Quem você pensa que eu sou?
NOPE_REASON2,Are you challenging me?,¿Vas a enfrentarme?,Vai encarar?
NOPE_REASON3,Just over my dead body!,¡Justo encima de mi cadáver!,Só por cima do meu cadaver!
NOPE_REASON4,Get that garbage out of here!,¡Vamos!,Xalabaias!
OPTIONS,Options,Opciones,Opções
PARTY,the party,al equipo,a equipe
PRESS,Press,Pulse,Pressione
PT_BR,Portuguese,Portugués,Português
QUIT_MESSAGE,Do you want to quit now?,¿Ya te vas?,Você já vai embora?
QUIT_TITLE,Quit Game,Salir del juego,Sair do jogo
SAD_END,Went bankrupt!,¡Tu restaurante\nFaliu!,Seu restaurante\nFaliu!
SFXS,Sound FX,Efectos,Efeitos
TIMER,the timer,el contador,o contador
VICTORY,Victory!,Victoria!,Vitória!
VOLUME,Volume,Volumen,Volume
VOLUME_TIP,Volume can be decreased with F2 and increased with F3,"Accesos directos: Aumentar F2, Disminuir F3","Atalhos: aumentar F2, diminuir F3"
YEP,Yep,Si,Sim
YEP_REASON1,Hard as Hell!,¡Muy difícil!,É muita pressão vey!
YEP_REASON2,"Oh god, Yes","¡Oh, por Dios, sí!",Jisuiz mi zauva
YEP_REASON3,I will take a break...,Voy a tomarme un descanso...,Vou dar um tempinho...
YEP_REASON4,Harden than Dark Souls!!!,Más duro que el Dark Souls!!!,Mais difícil que Dark Souls!!!
